query_id,问题,答案,来源,chunk_id,相似度,命中
4,有哪些岗位要求Python技能？,全栈 APP 开发工程师Java Python AI 爬虫，地点：广东，学历：专科及以上，经验：应届/校招岗位，薪资：9.5千/月,GNtxcPGWZsJL3zbshjDMbD | 全栈 APP 开发工程师Java Python AI 爬虫 | 国家大学生就业服务平台,job_28_chunk_0,0.2664,
4,有哪些岗位要求Python技能？,python爬虫工程师（会PHP优先），地点：上海，学历：本科及以上，经验：应届/校招岗位，薪资：30.0千/月,Lc4FwRzj6dQKnNUiGfoWiR | python爬虫工程师（会PHP优先） | 国家大学生就业服务平台,job_108_chunk_0,0.2133,
5,月薪8千以上的岗位有哪些？,Board of Review，地点：未标注，学历：未标注，经验：未标注，薪资：未标注,record_3698 | Board of Review | himalayas,job_3698_chunk_0,0.061,0
5,月薪8千以上的岗位有哪些？,I-1026 - Communication Lead，地点：未标注，学历：未标注，经验：未标注，薪资：未标注,record_9469 | I-1026 - Communication Lead | himalayas,job_9469_chunk_0,0.0593,
5,月薪8千以上的岗位有哪些？,Telemedicine Pain Management Nurse Practitioner / Physician Assistant (CA)，地点：未标注，学历：未标注，经验：未标注，薪资：未标注,record_9339 | Telemedicine Pain Management Nurse Practitioner / Physician Assistant (CA) | himalayas,job_9339_chunk_0,0.0561,
6,有哪些岗位提供五险一金或补充福利？,义乌|外贸专员|双休|五险一金|底薪+提成，地点：浙江，学历：不限，经验：应届/校招岗位，薪资：12.5千/月,FjbdqebNWiNwGLoZRMcnk6 | 义乌|外贸专员|双休|五险一金|底薪+提成 | 国家大学生就业服务平台,job_2978_chunk_0,0.2362,1
6,有哪些岗位提供五险一金或补充福利？,福利满分｜售后客服 班次自由选 五险一金 福利丰厚，地点：四川，学历：专科及以上，经验：应届/校招岗位，薪资：13.0千/月,BWGoNXWqCyS2tB73VG5qsb | 福利满分｜售后客服 班次自由选 五险一金 福利丰厚 | 国家大学生就业服务平台,job_2418_chunk_0,0.2317,
6,有哪些岗位提供五险一金或补充福利？,前台出纳+五险一金，地点：天津，学历：专科及以上，经验：应届/校招岗位，薪资：4.5千/月,MSNR6YVYJRKTmTWVxf1ign | 前台出纳+五险一金 | 国家大学生就业服务平台,job_3283_chunk_0,0.2312,
7,应届生可以申请哪些岗位？,诊所财务内勤，地点：山东，学历：专科及以上，经验：应届/校招岗位，薪资：3.5千/月,JnfCNGoHyAXS7zR9LfNskS | 诊所财务内勤 | 国家大学生就业服务平台,job_1678_chunk_0,0.132,1
7,应届生可以申请哪些岗位？,急聘医药代表（可接受应届生+提供住宿），地点：湖北，学历：专科及以上，经验：应届/校招岗位，薪资：5.5千/月,PZspLpyUUq6npSoeuKjufS | 急聘医药代表（可接受应届生+提供住宿） | 国家大学生就业服务平台,job_2362_chunk_0,0.1229,
7,应届生可以申请哪些岗位？,采购专员，地点：山东，学历：本科及以上，经验：应届/校招岗位，薪资：5.5千/月,KfaS9xndWC45VRMSyPEgoj | 采购专员 | 国家大学生就业服务平台,job_1328_chunk_0,0.1212,
8,有哪些岗位属于国有企业？,诊所财务内勤，地点：山东，学历：专科及以上，经验：应届/校招岗位，薪资：3.5千/月,JnfCNGoHyAXS7zR9LfNskS | 诊所财务内勤 | 国家大学生就业服务平台,job_1678_chunk_0,0.0643,1
8,有哪些岗位属于国有企业？,带岗主播（可接受26届毕业生，非实习岗位），地点：广东，学历：专科及以上，经验：应届/校招岗位，薪资：8.0千/月,Tbc7aAgavJWKTG7MWPh2CW | 带岗主播（可接受26届毕业生，非实习岗位） | 国家大学生就业服务平台,job_2581_chunk_0,0.0599,
8,有哪些岗位属于国有企业？,采购专员，地点：山东，学历：本科及以上，经验：应届/校招岗位，薪资：5.5千/月,KfaS9xndWC45VRMSyPEgoj | 采购专员 | 国家大学生就业服务平台,job_1328_chunk_0,0.0591,
9,产品经理岗位主要分布在哪些城市？,产品经理，地点：河北，学历：本科及以上，经验：应届/校招岗位，薪资：7.5千/月,NrREUGK1bWSZoH6LAkbz2f | 产品经理 | 国家大学生就业服务平台,job_723_chunk_0,0.3856,1
9,产品经理岗位主要分布在哪些城市？,产品经理，地点：四川，学历：硕士及以上，经验：应届/校招岗位，薪资：11.0千/月,6XdeCEj3KNKRpps91gZVjM | 产品经理 | 国家大学生就业服务平台,job_738_chunk_0,0.3771,
9,产品经理岗位主要分布在哪些城市？,产品经理，地点：山东，学历：专科及以上，经验：应届/校招岗位，薪资：6.25千/月,LU7c8yEFyCkbSiz7Nwn5r8 | 产品经理 | 国家大学生就业服务平台,job_732_chunk_0,0.3753,
10,有哪些岗位同时要求机器学习和深度学习？,视觉算法工程师，地点：北京，学历：本科及以上，经验：应届/校招岗位，薪资：22.5千/月,BsbNxc8eBhRsQpH5G4gBuD | 视觉算法工程师 | 国家大学生就业服务平台,job_378_chunk_0,0.1882,1
10,有哪些岗位同时要求机器学习和深度学习？,控制算法工程师，地点：北京，学历：本科及以上，经验：应届/校招岗位，薪资：27.5千/月,KDN8rsxsVSDJX4VMTRT49j | 控制算法工程师 | 国家大学生就业服务平台,job_380_chunk_0,0.1882,
10,有哪些岗位同时要求机器学习和深度学习？,性能测试工程师，地点：山东，学历：本科及以上，经验：应届/校招岗位，薪资：12.5千/月,QeTu3Z2moCqKwkbdRVnpDe | 性能测试工程师 | 国家大学生就业服务平台,job_556_chunk_0,0.1871,
